food,relationship,disease,evidence
bombax ceiba l. (bombacaceae) fruits,treats,urinary stones,"Interestingly, many Indian tribes use Bombax ceiba L. (Bombacaceae) fruits as a traditional medicine for the treatment of urinary stones."
ultra-processed food,causes,obesity,"Ultra-processed food consumption has been associated with several health outcomes such as obesity, hypertension, cardiovascular disease and cancer."
salt,causes,osteoporosis,"Salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis."
sfp,treats,diabetes,"In short, this study demonstrated that SFP could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of diabetes and its complications."
wine,treats,ad,We also showed that moderate consumption of wine was associated with a lower risk of developing AD.
ginger,treats,diabetes,Recent evidence revealed the potential of ginger for reducing diabetes-induced oxidative stress markers.
citrus aurantium l. (tpe-ca),treats,inflammatory diseases,"Total phenolic extracts of Citrus aurantium L. (TPE-CA) are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against inflammatory diseases."
wheat,causes,allergic reactions,Wheat is one of the five most common foods that trigger allergic reactions in children.
low-carbohydrate ketogenic ( vlc ) diet,treats,type 2 diabetes,"Adults with type 2 diabetes may experience health benefits, including glycemic control and weight loss, from following a very low-carbohydrate, ketogenic (VLC) diet."
chicken eggshell membrane ( em ),treats,arthritis,"It was hypothesized that chicken eggshell membrane (EM) is effective in the regeneration of cartilage and/or immunomodulation (oral tolerance), and as such relieves pain and stiffness in joints commonly affected in arthritis."
folic,treats,neural tube defects,There is evidence that adequate amounts of folic acid supply to women before and during early pregnancy decreases the risk of having a neural tube defects affected child.
sword bean,treats,cancer,"Sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease."
excessive consumption of red meat,causes,coronary heart diseases,Excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer.
fruit,treats,dementia,"Having at least three servings of vegetables and two servings of fruit a day could help prevent dementia in older adults, new research suggests."
milk,causes,cardiovascular disease,"Milk and dairy products containing milk fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as cardiovascular disease (CVD), coronary heart disease (CHD), and stroke."
punica granatum,treats,ailments,Over one thousand cultivars of Punica granatum (Punicaceae) are known and some are traditionally used to treat various ailments.
coffee,treats,metabolic syndrome,"Further, waste products from tropical fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome."
fruit,treats,bladder cancer,"Fruit and vegetable consumption was inversely related with bladder cancer in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of bladder cancer."
glycine max,treats,anemia deficiency,"Glycine max is commonly used in Algeria for treatment of anemia deficiency and osteoporosis, it ranks first in terms of vegetal proteins."
fish oil,treats,skin inflammation,Nutritional supplementation with fish oil or ÃÂÃÂÃÂÃÂ-3 (n-3) polyunsaturated fatty acids (PUFAs) has potential benefits for skin inflammation.
milk,treats,bone loss,Milk and milk products prevent the bone loss in pre- and postmenopausal women.
chocolate,treats,cardiovascular disease,Three recent meta-analyses found significant prospective inverse associations between chocolate intake and cardiovascular disease risk.
excessive sugar consumption,treats,metabolic diseases,"Since excessive sugar consumption has been related to the development of chronic metabolic diseases prevalent in the western world, the use of sweeteners has gradually increased worldwide over the last few years."
blueberry,treats,cvds,"Moreover, substantial experimental studies have supported the protective role of fruits against CVDs, and several fruits (grape, blueberry, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action."
garlic,causes,heinz body hemolytic anemia,", including garlic (A. sativum) and onions (A. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in Heinz body hemolytic anemia in dogs."
less healthy diet,causes,asthma,"We observed a significant positive association between less healthy diet, as expressed by higher FSAm-NPS DI, and the asthma symptom score."
allium,treats,cancer,"Allium vegetables have been shown to have beneficial effects against several diseases, including cancer."
ginger,treats,memory dysfunction,"Ginger, which has been widely used for dietary condiment, has been reported to improve memory dysfunction in an animal model of Alzheimer's disease (AD)."
sodium,causes,chronic kidney disease,"Current dietary guidelines recommend that patients with chronic kidney disease (CKD) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein."
diet,treats,diabetes,"Prevention of diabetes through the diet has recently received an increasing interest, and polyphenolic compounds, such as flavanols, have become important potential chemopreventive natural agents due to their proved benefits on health, with low toxicity and cost."
iron-fortified cereals,treats,iron deficiency anemia,Iron-fortified cereals (IFIC) can contribute substantially in preventing iron deficiency anemia and maintaining an adequate body iron status.
iron fortifiers,treats,iron-deficiency anemia,"Iron-deficiency anemia (IDA) is a major global public health problem, and the iron fortifiers in diet are clearly needed in the prevention and improvement of IDA for humans."
capsinoids from nonpungent chili pepper,treats,chills,"Capsinoids from nonpungent chili pepper cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of chills."
rice,causes,allergic reactions,Allergen Glb33 is an important allergen in rice that can cause allergic reactions such as asthma and atopic dermatitis.
flour,causes,respiratory allergy,"Out of the 314 subjects tested, 22 (7%) had a respiratory allergy against flour (flour rhinitis and/or flour asthma), and 21 (6.7%) a preexistent atopic disease without actual symptoms of flour allergy."
flour dust,causes,respiratory diseases,"For decades, occupational exposure to flour dust has been linked to a range of respiratory diseases, including occupational asthma, thought to result from exposure to fungi present in the flour."
essential oil,treats,immune disorders,"Because Magonlia Flos was described as an aromatic material in ancient Chinese texts, we hypothesized that its essential oil may be used to treat immune disorders."
mediterranean diet,causes,myocardial infarction,The Mediterranean diet (MD) affects the risk of myocardial infarction and long-term prognosis after a coronary event.
leaves and fruits of rhus coriaria,treats,diabetes,The leaves and fruits of Rhus coriaria are traditionally used in Turkey for the treatment of diabetes.
garlic consumption,treats,cancer,"Epidemeological as well as laboratory studies have shown that garlic consumption reduces certain cancer incidences in the stomach, colon, mammary, cervical, etc."
dairy products,treats,bone diseases,"However, milk is a food of high nutritional value, and complete exclusion of dairy products may favor the development of bone diseases such as osteopenia and osteoporosis."
processed meats,causes,hypertension,"However, liquid UPF and processed meats were associated with increased rate of hypertension (IRR: 1.32; 95%CI:1.10,1.65; IRR: 1.17; 95%CI:1.01,1.36; respectively)."
taraxacum officinale,treats,inflammatory diseases,"Taraxacum officinale (L.), commonly called dandelion has been used for centuries as a natural medicine to treat inflammatory diseases including some metabolic alterations associated with obesity."
tea,treats,vd,"A high educational level, a vegetable-based diet, and tea were protective factors for VD."
garlic,treats,colon neoplastic lesions,Diallyl disulfide (DADS) is a major organosulphur compound present in garlic with an anti-mitotic potential against colon neoplastic lesions in vivo and colon tumour cell growth in vitro.
salt,causes,ad,"Diets characterized by high intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of AD and can perturb the circadian modulation of cortisol secretion, which is associated with poor sleep quality."
green tea,treats,neurodegenerative disease,"Natural antioxidants from food sources and natural products such as resveratrol, curcumin, green tea polyphenols, and vitamin E are promising therapeutic agents in oxidative stress-mediated neurodegenerative disease as they have fewer adverse effects, more tolerable, cheaper, and sustainable for long term consumption."
sage,treats,diabetic,Salvia officinalis L. (sage) is a medicinal plant used as an ingredient in foods and beverages and displays a wide range of biological and pharmacological activities including anti-diabetic effects.
iron fortifiers in diets,treats,iron-deficiency anemia,"Iron-deficiency anemia is an important health problem in global public issues, and development of iron fortifiers in diets is essential for the decrease of iron deficiency."
spirulina platensis extracts,treats,cancer,Spirulina platensis extracts have exhibited considerable anti-cancer effects.
extra-virgin olive oil,treats,malignancies,"Epidemiological studies have compellingly documented the ability of the Mediterranean diet rich in extra-virgin olive oil to reduce the incidence of certain malignancies, and cardiovascular diseases, and slow the Alzheimer's disease progression."
alcohol,treats,dementia,"Evidence suggests that consuming light-to-moderate amounts of alcohol reduces the risk of dementia and is associated better cognitive function and less cardiovascular disease, relative to those consuming no or heavy alcohol."
phenolic acids,treats,alzheimer's disease,Numerous authors have provided evidence regarding the beneficial effects of phenolic acids and their derivatives against Alzheimer's disease (AD).
ultra-processed foods,causes,noncommunicable chronic diseases,Processed and ultra-processed foods (UPF) consumption has been associated with development of noncommunicable chronic diseases (NCD).
labiatae,treats,cardiovascular diseases,"Use of Labiatae as food or food additives (such as spices) may prevent risk of cardiovascular diseases, diabetes and cancer."
meat,causes,coronary heart disease,"Regular intake of foods rich in saturated fats, such as meat and certain dairy products, raises the risk of coronary heart disease, especially in smokers."
milk,causes,respiratory complications,"It is suggested that recurrent inhalation of milk and food, consequent upon disordered oesophageal motility, is the major factor causing these respiratory complications."
docosahexaenoic acid,treats,alzheimer's disease,"Docosahexaenoic acid (DHA) is a fatty acid abundant in the brain, and is reported to have protective effects against Alzheimer's disease, although the mechanistic effects of DHA against Alzheimer's pathophysiology remain unclear."
artichoke,treats,"cardiovascular, hepatic and gastric diseases","Cynara scolymus L. (common artichoke) and its products have been considered as potential phytotherapeutic agents for various conditions, such as cardiovascular, hepatic and gastric diseases, among others."
milk consumption,treats,osteoporosis,Milk consumption is an accepted strategy in building peak bone mass and therefore may reduce the risk of osteoporosis.
olive oil,treats,cardiovascular disease,"A Mediterranean diet supplemented with olive oil and nuts prevents cardiovascular disease in clinical studies, but the underlying mechanisms are incompletely understood."
oryza sativa,treats,vomiting,"Oryza sativa L. is consumed globally as a staple food, and its roots have been used as a Korean and Chinese medical supplement for protection of the stomach and lungs and for amelioration of vomiting and fever."
gelatin hydrolysates,treats,osteoporosis,Osteoporosis is a common skeletal disorder in humans and gelatin hydrolysates from mammals have been reported to improve osteoporosis.
blueberries,causes,g6pd) deficiency,"However, there is evidence in the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency."
olive oil,treats,alzheimer's disease,Olive oil is a major component of the Mediterranean diet suggested to be beneficial to counteract Alzheimer's disease.
avocado soybean unsaponifiables (asu),treats,knee osteoarthritis,"Avocado soybean unsaponifiables (ASU) has proven its safety and effectiveness in clinical studies of knee osteoarthritis (OA); however, whether ASU exerts structure-modifying effects is still to be elucidated."
high-calorie diet,causes,obesity,A high-calorie diet (HCD) induces two mutually exacerbating effects contributing to diet-induced obesity (DIO): impaired glucose metabolism and increased food consumption.
unhealthy diet,causes,malnutrition,"Many Small Island Developing States of the Caribbean experience a triple burden of malnutrition with high rates of obesity, undernutrition in children, and iron deficiency anemia in women of reproductive age, driven by an inadequate, unhealthy diet."
ginger,treats,behavioral dysfunction,Our previous study suggests that ginger root extract can reverse behavioral dysfunction and prevent Alzheimer's disease (AD)-like symptoms induced by the amyloid-ÃÂÃÂÃÂÃÂ² protein (AÃÂÃÂÃÂÃÂ²) in a rat model.
tobacco,causes,bladder cancer,Tobacco smoking and occupational exposure to aromatic amines are the two major established environmental risk factors for bladder cancer.
peanut,causes,intestinal anaphylaxis,Activation of the steroidogenic enzyme CYP11A1 was shown to be necessary for the development of peanut-induced intestinal anaphylaxis and IL-13 production in allergic mice.
ginseng,treats,cardiovascular disease,"Ginsenoside-Rb1 (Rb1), a major active component of ginseng, has many benefits for cardiovascular disease and diabetes mellitus (DM), but the effect and mechanism on diabetic cardiomyopathy are not clear."
3-hydroxyphenylpropionic acid,treats,diabetes,"Epicatechin (EC) and main colonic phenolic acids derived from flavonoid intake, such as 2,3-dihydroxybenzoic acid (DHBA), 3,4-dihydroxyphenylacetic acid (DHPAA) and 3-hydroxyphenylpropionic acid (HPPA), have been suggested to exert beneficial effects in diabetes."
milk,treats,coronary heart disease,"Numerous epidemiological studies have revealed that high consumption of milk and dairy products may have protective effects against coronary heart disease (CHD), stroke, diabetes, certain cancers (such as colorectal and bladder cancers), and dementia, although the mechanisms of action are unclear."
fermented foods,treats,gut dysbiosis,"Regular consumption of fermented foods (e.g., kimchi, kefir, etc.) may represent a potential avenue to counter the proinflammatory effects of gut dysbiosis."
olive oil,treats,murine collagen-induced arthritis,"Hydroxytyrosol acetate (HT-AC), a polyphenolic compound in olive oil, exerts an anti-inflammatory effect on murine collagen-induced arthritis."
fruits,treats,degenerative diseases,"Several studies have shown that a high consumption of vegetables and fruits is consistently associated with a low risk of oxidative stress-induced diseases, which includes some degenerative diseases such as amyotrophic lateral sclerosis, Alzheimer and Parkinson."
alcoholics,causes,osteopenia,Osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty liver disease.
sugar,causes,caries,"Many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption."
extra-virgin olive oil,treats,breast and colon cancers,"Epidemiological and clinical studies compellingly documented the ability of Mediterranean diet rich in extra-virgin olive oil (EVOO) to reduce breast and colon cancers incidence, cardiovascular diseases, and aging cognitive functions decline."
fruit,treats,inflammation,Fruit and vegetables are still not being eaten in adequate amounts and yet contain micronutrients and phytochemicals useful for bone remodelling (bone formation and resorption) and are essential for reducing inflammation and oxidative stress.
alcoholic beverages,treats,dementia,Moderate consumption of alcoholic beverages reduces the risk of dementia and cognitive decline.
ginger,treats,inflammation,Ginger as an anti-oxidant and anti-inflammation can effect on these biomarkers.
tofu,causes,dementia,"In older people in Indonesia, Hawai'i and China, tofu, which can contain high levels of phytoestrogens, was found to increase dementia risk."
walnuts,treats,alzheimer's disease,Our previous study has shown beneficial effects of walnuts on memory and learning skills in transgenic mouse model of Alzheimer's disease (AD-tg).
mediterranean diet,treats,ischemic heart disease,"With the famous Seven Countries Study, Keys demonstrated for the first time that populations practicing a Mediterranean diet - such as the Greeks and southern Italians - showed low mortality rates from ischemic heart disease compared to the peoples of Northern Europe and North America."
olea europaea,treats,inflammation,Bioactive extracts from Olea europaea have anti-inflammatory activity and have been shown to reduce systemic inflammation in other animal models.
fruits,treats,kidney stones,Various human studies have suggested that diets with a higher intake of vegetables and fruits play a role in the prevention of kidney stones.
olive oil,treats,carcinogenic,"The beneficial effects of olive oil phenols attributed to a variety of biological activities including free radical scavenging/antioxidant actions, anti-inflammatory effects, anti-carcinogenic properties, and anti-microbial activities."
vegetables,treats,kidney stones,"Available scientific evidence agrees on the harmful effects of high meat/animal protein intake and low calcium diets, whereas high content of fruits and vegetables associated with a balanced intake of low-fat dairy products carries the lowest risk for incident kidney stones."
fruit,treats,hypertension,"An increased consumption of vegetables and fruit reduces the risk of hypertension, coronary heart disease, stroke, and cancer."
salt,causes,death and disability,Diets high in salt are a leading risk for death and disability globally.
milk,treats,cognitive impairment,Milk and other dairy products may contribute to the prevention of physical and cognitive impairment.
wheat flour,treats,neural tube defects,"The mandatory fortification of enriched cereal grains (e.g., wheat flour) with folic acid, which began in the United States in 1998, is an example of a successful intervention that significantly reduced the rate of neural tube defects (NTDs)."
cereal,treats,coronary disease,"The soluble dietary fiber (1-3)(1-4) mixed linked ÃÂÃÂÃÂÃÂ²-D-glucan from cereal grains is a valuable component of a healthy diet, which reduces risks of coronary disease and diabetes."
licorice,treats,neurodegenerative diseases,"Extensive research over the last 10 years has indicated that nutraceuticals derived from such spices as turmeric, red pepper, black pepper, licorice, clove, ginger, garlic, coriander, and cinnamon target inflammatory pathways, thereby may prevent neurodegenerative diseases."
olive oil,treats,cvds,"Polyphenols of olive oil (OO), virgin olive oil (VOO), and extra virgin olive oil contribute an essential role for the management of CVDs."
fruits,treats,heart disease,"Nuts, whole grains, fruits, and vegetables contain an abundance of phenolic compounds, terpenoids, pigments, and other natural antioxidants that have been associated with protection from and/or treatment of chronic disease such as heart disease, cancer, diabetes, and hypertension as well as other medical conditions."
ginkgo biloba,treats,cough,"Ginkgo biloba has long been used in ancient China for the treatment of cough, asthma, and other lung diseases."
shrimp,causes,allergy,"In 2.8% of the control group, the ISAC-test failed to detect an allergy sensitization caused by dust mite, shrimp, Anisakis, or seed storage proteins."
bertholletia excelsa,treats,cognitive decline,"Previously, supplementation with a selenium-rich Brazil nut (Bertholletia excelsa) has shown potential in reducing cognitive decline in MCI patients, and could prove to be a safe and effective nutritional approach early in the disease process to slow decline."
broccoli,treats,cartilage destruction,"We have previously demonstrated that sulforaphane, a dietary isothiocyanate derived from its glucosinolate precursor which is found in broccoli, can prevent cartilage destruction in cells, in in vitro and in vivo models of osteoarthritis."
fig,causes,allergy,We describe the first case of fig allergy that occurred as a cross-reactivity between fig and Derp 1.
hard water,treats,atopic dermatitis,"This review summarizes the mechanism and effects of Dead Sea salt, hard water, commercial baby cleansers, oatmeal, rice, and natural oils as bathing additives for the treatment of atopic dermatitis."
eicosapentaenoic acid,treats,neurodegenerative diseases,"Omega-3 polyunsaturated fatty acids (n-3 PUFAs), docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA), have been reported to prevent neurodegenerative diseases such as Alzheimer's disease (AD) in both experimental and clinical/epidemiological studies."
whey protein,treats,lipemia,"Recently, we demonstrated that whey protein (WP) combined with low dietary fiber improved lipemia, a risk factor for cardiovascular disease in subjects with abdominal obesity."
mollusks,treats,osteoporosis,"In vitro cell cultures and in vivo animal osteoporosis models have demonstrated the potential for seafood-derived SBPs, including fish, mollusks, crustaceans, seaweed and microalgae, in preventing osteoporosis."
peanut oil,treats,ad,"Some bath oils and skin creams used for treating AD contain peanut oil, and it has been suggested that exposure to peanut allergens through a disrupted skin barrier is a potential cause of PA."
ginkgo biloba,treats,peripheral vascular disease,"The extract from Ginkgo biloba leaves has become a very popular plant medicine and herbal supplement for its potential benefit in alleviating symptoms associated with peripheral vascular disease, dementia, asthma and tinnitus."
fat and high-calorie foods,causes,obesity,"Also, excessive intake of fat and high-calorie foods is also related to the development of obesity, which contributes to the development of CVD."
native olive oil,treats,stroke,"The only evidence from randomised controlled trials is, that a mediterranean diet with nuts and/or native olive oil considerably reduces stroke risk by 47% respectively 31%, however not the risk of myocardial infarction and death."
vaccinium macrocarpon,treats,urinary tract infections,"Younger women will use botanicals for urinary tract infections, especially Vaccinium macrocarpon (cranberry), where there is evidence for efficacy."
ginger,treats,nausea,Vitamin B6 and ginger are both effective for nausea and vomiting in early pregnancy.
diet,causes,hypercholesterolemia,"Hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes."
fruit of lycium chinense (lc),treats,musculoskeletal diseases,"The fruit of Lycium chinense (LC), one of the most popular natural materials, has been used to counter the effects of musculoskeletal diseases in oriental medicine."
ginger,treats,diabetes mellitus,"Ginger is an important medicinal herb has numerous bioactive components and is used in the management, control and/or treatment of diseases including diabetes mellitus."
high protein diets,causes,bone loss,"High protein diets are believed to cause kidney stone formation and bone loss, but the mechanisms mediating these changes are unknown."
diosgenin,treats,axonal atrophy,"Diosgenin, a yam-derived compound, was found to facilitate the repair of axonal atrophy and synaptic degeneration and improve memory dysfunction in a transgenic mouse model of Alzheimer's disease (AD)."
well-balanced diet,treats,osteoporosis,"Health claims describe the relation between a food substance and the risk of disease, e.g., ""Adequate calcium and vitamin D throughout life, as part of a well-balanced diet, may reduce the risk of osteoporosis."
almond,causes,allergy,Oral food challenges have demonstrated that diagnosis of almond allergy based on extract-sIgE tests display low specificity.
ginger,treats,ailments,Ginger (from the rizhome of Zingiber officinale Roscoe) has been widely used in ethnomedicine for the cure of several ailments.
ammonia,causes,respiratory symptoms,"High endotoxin, ammonia, and dust levels contribute to acute and chronic respiratory symptoms in people who work in these settings."
beer,treats,memory impairment,"We have previously demonstrated that iso-ÃÂÃÂÃÂÃÂ±-acids (IAAs), the hop-derived bitter components in beer, improve memory impairment in aged and Alzheimer's disease mouse models."
trigonella foenum-graecum,causes,hypoglycemic,"Trigonella foenum-graecum (fenugreek) has been reported to have hypoglycemic, hypocholesterolemic, hyperinsulinemic and anti-diabetic properties."
olives,treats,inflammation,"Consumption of olives (Olea europaea L.), including table olives and oil, is associated with low incidence of inflammation-related diseases."
improved nutrition,treats,inflammation,"The nutrition pyramid described in our narrative review is hypothetical, even in light of several limitations of the present review; the main limitation is the fact that to date there are no randomized controlled trials in the literature clearly showing that improved nutrition, via the regulation of carbon dioxide produced/oxygen consumed, inflammation and oxidative stress, improves symptoms and/or progression of COPD."
processed meat,causes,type ii diabetes,"The intake of processed meat has been associated with several adverse health outcomes such as type II diabetes and cancer; however, the mechanisms are not fully understood."
nutrition,treats,ad,"Accumulating evidence suggests that nutrition (e.g., via fruit, vegetables, fish) is important for optimizing cognition and reducing risk of AD."
fruits,causes,allergies,"Recently, the prevalence of food allergies during childhood is increasing, with fruits being common allergens."
cigarette smoke,causes,neurological diseases,"Exposure to cigarette smoke (CS) is associated with an increased risk of several neurological diseases such as stroke, Alzheimer's disease, and dementia."
ultra-processed products ( up ),causes,arterial hypertension,"The consumption of ultra-processed products (UP) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma."
salt,causes,cerebrovascular disease,"The decreasing mortality rates from cerebrovascular disease are thought to reflect the increases in animal foods, milk, and dairy products and consequently in saturated fatty acids and calcium, together with a decrease in salt intake which may have led to a decrease in blood pressure."
salt,treats,stone recurrence in hypercalciuric renal stone formers,A diet based on a adequate intake of calcium (1000-1200 mg per day) and containment of animal protein and salt can decrease significantly urinary supersaturation for calcium oxalate and reduce the relative risk of stone recurrence in hypercalciuric renal stone formers.
olive oil,treats,osteoporosis,"The reported incidence of osteoporosis is lower in countries in which the Mediterranean diet predominates, and this apparent relationship may be mediated by the phenolic compounds present in olive oil."
nickel,causes,allergy,Nickel is the most common cause of contact allergy in the general population and the most frequently detected allergen in patients patch tested for suspected allergic contact dermatitis (ACD).
allium sativa ( garlic ),causes,intra vascularhaemolytic anaemia,"Despite the high acceptability of Allium sativa (Garlic) as a remedy for many diseases as earlier stated by manyresearchers, previous studies have shown that chronic and unregulated consumption of garlic may result to intra vascularhaemolytic anaemia in rats."
low diet quality,causes,micronutrient malnutrition,Low diet quality is a driver of general and micronutrient malnutrition in urban and rural areas.
certain foods,causes,obesity,"Portion sizes for certain foods have been increasing dramatically in recent years alongside obesity rates, concurring with the phenomenon of the portion size effect (more is consumed when more is offered)."
fresh tomato juice,treats,hypocitraturic recurrent stone formers,"Fresh tomato juice may be useful in hypocitraturic recurrent stone formers due to its high content of citrate and magnesium, and low content of sodium and oxalate."
dark tea,treats,degenerative diseases,Dark tea has a significant effect on the prevention and treatment of age-related degenerative diseases.
peanut,causes,allergies,The characteristics of tree nuts (TNs) and peanut (PN) allergies vary in different regions of the world.
dairy products,causes,cardiometabolic diseases,Dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases.
dairy products,treats,cardiometabolic diseases,Dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases.
wheat,causes,food allergy,"Food allergy is a common disease caused by the intake of allergen-containing foods, such as milk, eggs, peanuts, and wheat."
fish oil,treats,alzheimer's disease,Long-term fish oil (FO) supplementation is able to improve Alzheimer's disease (AD) pathology.
increased olive oil consumption,treats,cardiovascular disease,"Increased olive oil consumption is implicated in a reduction in cardiovascular disease, rheumatoid arthritis, and, to a lesser extent, a variety of cancers."
buckwheat flour,causes,allergy to buckwheat,"Three cooks, two bakers, and a worker in a grocery store were occupationally exposed to buckwheat flour and developed immediate allergy to buckwheat, which was confirmed by skin prick testing and measurement of specific immunoglobulin E antibodies."
dark chocolate,treats,t2d,"While it could be suggested that daily consumption of flavanols from cocoa or dark chocolate would constitute a potential preventive tool useful for the nutritional management of T2D, this recommendation should be cautious since most of commercially available soluble cocoa products or chocolates contain low amount of flavanols and are rich in sugar and calories that may aggravate glycaemic control in T2D patients."
tea,treats,osteoporosis,"Tea drinking has positive effects on bone health and may prevent and treat osteoporosis, especially in older and postmenopausal women."
certain foods,treats,asthma,Consumption of certain foods during pregnancy has been shown to have beneficial effects on childhood asthma and allergic disease development and aggravation.
micronutrient powders,treats,anaemia,"Home fortification with micronutrient powders (MNP) has been shown to reduce anaemia, with high overall acceptability and adherence, but there is limited evidence from West Africa."
walnut,causes,allergic reactions,"Jug r 1, the major allergen of walnut, triggers severe allergic reactions through epitopes."
vegetable-based diet,treats,vcind,"A high level of education, manual-work, low level of alcohol use, regular health checks, a vegetable-based diet, and more fruit and milk were protective factors for VCIND."
welsh onion,treats,abdominal pain,"Allium fistulosum (Welsh onion) is a traditional medicinal plant used for the treatment of colds, influenza, abdominal pain, headache, and heart disease."
garlic,treats,cancers,There is a strong belief that garlic has medicinal properties and may even reduce the risk of developing certain cancers including those of the gastrointestinal tract.
